# Benchmark Prefix-sum (sh = [100000, 1000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.98017704	0.9891793	0.9771936	0.98979217
2	1.3595178	1.3353566	1.3358351	1.4480028
3	1.6818478	1.6635841	1.6631718	1.7966369
4	1.9855888	1.9750684	1.9677703	2.171067
6	2.3969064	2.3815084	2.3749337	2.5816245
8	2.5615194	2.53395	2.5372078	2.689231
10	2.4931817	2.4720554	2.4719644	2.575283
12	2.4471717	2.4255865	2.4273415	2.5294607
14	2.4001646	2.383454	2.3813393	2.4662404
16	2.3735056	2.3637228	2.364639	2.446993
20				
24				
28				
32				
