# Benchmark In-place prefix-sum (sh = [100000, 1000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.9855376	0.99457365	0.99154943	0.97537386
2	1.3511184	1.3377209	1.3335257	1.5559556
3	1.7629519	1.7367424	1.7284967	1.8660651
4	1.9323444	1.9182576	1.913975	1.9896313
6	2.0684516	2.0532699	2.049707	2.115879
8	2.1433525	2.1347444	2.1336303	2.1767066
10	2.1958606	2.1779554	2.176974	2.2165554
12	2.219054	2.2019553	2.1988583	2.2341642
14	2.2481496	2.2314441	2.2333193	2.260483
16	2.26106	2.2420805	2.2431211	2.2624075
20				
24				
28				
32				
