# Benchmark In-place prefix-sum (sh = [10000, 10000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.9875286	0.92905927	0.9989079	0.9797596
2	1.6056231	1.5457432	1.287413	1.5276722
3	1.8887465	1.828216	1.604846	1.8139638
4	2.007682	1.9481144	1.8815789	1.9426217
6	2.1363912	2.0754635	2.009355	2.074652
8	2.1904624	2.128164	2.082715	2.12714
10	2.2245376	2.1366491	2.1546116	2.1402695
12	2.243161	2.152077	2.1817248	2.1561
14	2.2659633	2.177248	2.218213	2.1817248
16	2.2679975	2.1875722	2.2342808	2.192182
20				
24				
28				
32				
