# Benchmark In-place prefix-sum (sh = [4, 25000000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.9891942	1.0010111	1.0108725	0.9886454
2	1.6258934	1.6628616	1.198704	1.6285679
3	1.5597211	1.9182274	1.5844522	1.9042886
4	2.0196064	2.0327377	1.8256044	2.021057
6	2.0207515	2.0963454	2.0193775	2.1056757
8	2.0238113	2.1736531	2.1000512	2.1715343
10	2.0180817	2.2122402	2.1810133	2.2095888
12	2.009812	2.2353654	2.2029421	2.232192
14	2.015115	2.2623248	2.2126067	2.2611766
16	2.0180817	2.2718425	2.2510843	2.2710705
20				
24				
28				
32				
