# Benchmark Prefix-sum (sh = [10000, 10000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.9951617	0.94344306	1.0008929	0.99626726
2	1.479065	1.4206146	1.2829076	1.4213651
3	1.8380291	1.7699736	1.5871581	1.7692753
4	2.2280045	2.160099	1.8947798	2.1499488
6	2.6557293	2.555045	2.4029653	2.5476894
8	2.783323	2.6696436	2.647888	2.6608775
10	2.623206	2.5151074	2.5547538	2.512289
12	2.5775657	2.4765816	2.470396	2.4694889
14	2.5069513	2.4088175	2.4265459	2.4065764
16	2.4806004	2.3901563	2.3781557	2.3851554
20				
24				
28				
32				
