# Benchmark Prefix-sum (sh = [4000, 25000])
# Speedup compared to a sequential implementation.
# NCPU	Sequential row-based	Column-wise chained	Row-wise chained	Assisting column-wise chained
1	0.99236834	0.93647045	0.9974233	0.9797516
2	1.4793125	1.420056	1.233369	1.4196947
3	1.8410678	1.7611772	1.5292412	1.7627997
4	2.2399986	2.1490645	1.8202995	2.1431499
6	2.658159	2.5487936	2.299928	2.5442421
8	2.7764096	2.660588	2.6723733	2.6479635
10	2.6193774	2.5043755	2.5838027	2.5026908
12	2.5741687	2.4660113	2.4643776	2.4591289
14	2.496812	2.3985314	2.4255497	2.3912516
16	2.4741197	2.375643	2.3827434	2.3714366
20				
24				
28				
32				
