# Benchmark Prefix-sum (n = 67,108,864)
# Speedup compared to a sequential implementation.
# NCPU	Adaptive chained	Assisting column-wise chained
1	0.9688738	1.0093969
2	1.2331027	1.3268781
3	1.5668132	1.5882475
4	1.948919	1.9687821
6	2.6227965	2.6272929
8	2.7752626	2.7905917
10	2.6627476	2.6477194
12	2.5592852	2.5074992
14	2.5053132	2.5058594
16	2.4533083	2.4581618
20		
24		
28		
32		
